time,wristR,elbowR,shoulderR,thoraxR,axillaR,scapulaR,backR,backL,scapulaL,axillaL,thoraxL,shoulderL,elbowL,wristL,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
22:57:11.904,211,480,639,254,477,749,353,311,614,435,223,534,550,244,428,-8140,-1156,79,-861,-26
22:57:11.938,210,478,640,252,478,749,353,311,614,434,223,536,551,244,508,-8132,-1100,153,-963,22
22:57:12.256,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.256,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.257,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.257,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.257,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.257,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.257,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.257,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.257,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.257,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.258,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.258,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.258,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.258,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.258,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.281,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.281,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.298,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.331,210,480,638,253,479,748,352,310,611,434,222,535,549,244,28,-8272,-1516,186,-1012,94
22:57:12.347,208,478,636,251,476,746,348,309,608,435,222,533,548,244,388,-8192,-1452,139,-859,-61
22:57:12.364,209,479,637,253,479,748,352,310,609,434,221,533,548,244,60,-8096,-1176,131,-908,-23
22:57:12.380,209,479,637,253,479,748,352,310,609,434,221,533,548,244,60,-8096,-1176,131,-908,-23
22:57:12.397,209,479,637,253,479,748,352,310,609,434,221,533,548,244,60,-8096,-1176,131,-908,-23
22:57:12.423,209,477,635,254,477,747,349,309,608,434,222,532,548,244,416,-8228,-1152,117,-970,-47
22:57:12.440,209,478,635,252,477,747,350,310,607,434,221,533,551,244,472,-8232,-1512,157,-990,-3
22:57:12.473,210,479,636,254,477,748,351,309,606,433,221,533,547,244,0,-8188,-1068,132,-985,25
22:57:12.490,210,479,636,254,477,748,351,309,606,433,221,533,547,244,0,-8188,-1068,132,-985,25
22:57:12.512,209,478,636,251,477,749,351,310,607,434,222,533,548,244,24,-8184,-1032,134,-929,33
22:57:12.527,209,478,636,251,477,749,351,310,607,434,222,533,548,244,24,-8184,-1032,134,-929,33
22:57:12.537,211,479,637,254,475,744,351,309,606,434,222,532,548,245,8,-8116,-1536,127,-558,17
22:57:12.573,208,479,634,251,478,750,351,310,606,433,222,531,547,244,28,-8240,-1048,115,-909,64
22:57:12.600,210,479,634,253,478,748,351,309,606,433,222,531,548,244,484,-8216,-1500,130,-1010,48
22:57:12.600,210,479,634,253,478,748,351,309,606,433,222,531,548,244,484,-8216,-1500,130,-1010,48
22:57:12.617,210,479,634,253,479,748,351,309,607,433,222,531,546,244,28,-8192,-1536,147,-917,34
22:57:12.643,208,478,634,251,477,746,347,309,606,433,222,531,546,245,0,-8192,-1516,128,-998,-29
22:57:12.660,208,478,634,251,477,746,347,309,606,433,222,531,546,245,0,-8192,-1516,128,-998,-29
22:57:12.693,210,480,632,250,475,748,349,309,606,435,222,532,547,244,16,-8232,-1052,119,-1020,17
22:57:12.710,211,479,633,253,475,747,349,309,605,433,222,532,546,244,488,-8160,-1044,139,-982,-29
22:57:12.726,208,479,632,252,477,749,350,309,603,432,222,532,546,244,44,-8232,-1084,114,-988,-20
22:57:12.756,209,479,633,253,476,746,351,309,605,433,221,532,545,244,48,-8180,-1088,101,-905,-33
22:57:12.773,211,477,633,251,476,748,349,308,605,432,222,532,546,244,436,-8164,-1068,131,-895,-34
22:57:12.784,211,477,633,251,476,748,349,308,605,432,222,532,546,244,436,-8164,-1068,131,-895,-34
22:57:12.801,211,477,633,251,476,748,349,308,605,432,222,532,546,244,436,-8164,-1068,131,-895,-34
22:57:12.817,208,478,632,250,476,747,350,309,606,432,221,532,546,245,32,-8072,-1044,125,-1006,-59
22:57:12.850,210,477,631,252,476,746,349,309,605,432,221,532,546,244,432,-8132,-1124,110,-923,69
22:57:12.867,210,477,631,252,476,746,349,309,605,432,221,532,546,244,432,-8132,-1124,110,-923,69
22:57:12.881,210,477,631,252,476,746,349,309,605,432,221,532,546,244,432,-8132,-1124,110,-923,69
22:57:12.897,210,477,631,252,476,746,349,309,605,432,221,532,546,244,432,-8132,-1124,110,-923,69
22:57:12.922,210,477,631,252,476,746,349,309,605,432,221,532,546,244,432,-8132,-1124,110,-923,69
22:57:12.939,210,477,631,252,476,746,349,309,605,432,221,532,546,244,432,-8132,-1124,110,-923,69
22:57:12.972,210,477,631,252,476,746,349,309,605,432,221,532,546,244,432,-8132,-1124,110,-923,69
22:57:12.988,209,477,631,252,477,745,345,309,605,431,222,531,545,244,8,-8276,-1072,127,-981,20
22:57:13.008,211,478,633,253,477,747,350,309,605,432,222,531,545,244,460,-8184,-1168,37,-980,12
22:57:13.028,210,478,633,250,475,747,350,309,606,432,221,531,545,243,444,-8160,-1100,47,-944,0
22:57:13.045,208,478,652,252,478,754,351,309,611,432,222,535,546,247,36,-8048,-1068,51,-979,5
22:57:13.061,208,486,663,251,479,762,356,311,615,432,221,542,558,245,288,-8032,-612,-143,-957,-86
22:57:13.078,208,486,663,251,479,762,356,311,615,432,221,542,558,245,288,-8032,-612,-143,-957,-86
22:57:13.111,208,486,663,251,479,762,356,311,615,432,221,542,558,245,288,-8032,-612,-143,-957,-86
22:57:13.128,208,486,663,251,479,762,356,311,615,432,221,542,558,245,288,-8032,-612,-143,-957,-86
