time,wristR,elbowR,shoulderR,thoraxR,axillaR,scapulaR,backR,backL,scapulaL,axillaL,thoraxL,shoulderL,elbowL,wristL,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
20:03:45.424,233,412,709,273,618,799,528,391,710,460,255,563,578,239,3452,-6904,4516,-1116,557,-254
20:03:45.453,231,411,703,273,618,810,526,391,708,459,254,565,571,237,3216,-6684,4436,-830,119,-159
20:03:45.769,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.770,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.770,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.770,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.770,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.770,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.770,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.770,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.771,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.771,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.771,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.771,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.771,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.771,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.771,227,402,686,272,594,784,472,390,695,457,253,581,564,235,2844,-6672,4952,139,-858,-279
20:03:45.792,226,403,681,271,592,781,474,389,692,458,253,581,564,235,2600,-6428,4608,-106,-746,-275
20:03:45.792,226,403,681,271,592,781,474,389,692,458,253,581,564,235,2600,-6428,4608,-106,-746,-275
20:03:45.825,225,403,683,270,591,780,475,389,687,457,253,582,562,235,2720,-6396,4888,-121,-678,-181
20:03:45.842,226,403,684,271,591,780,475,388,691,456,253,580,561,235,2724,-6288,5600,-50,-516,-127
20:03:45.858,226,403,684,271,591,780,475,388,691,456,253,580,561,235,2724,-6288,5600,-50,-516,-127
20:03:45.875,225,403,682,270,590,782,472,386,690,455,252,581,560,235,2692,-6364,5616,-38,-981,-105
20:03:45.899,225,403,682,270,590,782,472,386,690,455,252,581,560,235,2692,-6364,5616,-38,-981,-105
20:03:45.922,225,405,680,270,587,781,473,385,689,455,252,579,559,235,3024,-6528,4868,125,-908,-43
