time,wristR,elbowR,shoulderR,thoraxR,axillaR,scapulaR,backR,backL,scapulaL,axillaL,thoraxL,shoulderL,elbowL,wristL,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
20:18:15.056,267,515,676,270,559,826,431,354,727,472,252,592,619,341,88,-8012,-1236,110,-1267,52
20:18:15.084,267,515,676,270,559,826,431,354,727,472,252,592,619,341,88,-8012,-1236,110,-1267,52
20:18:15.391,270,509,657,271,543,823,426,348,718,473,253,577,577,342,-156,-8228,-648,71,-941,106
20:18:15.392,270,509,657,271,543,823,426,348,718,473,253,577,577,342,-156,-8228,-648,71,-941,106
20:18:15.392,270,509,657,271,543,823,426,348,718,473,253,577,577,342,-156,-8228,-648,71,-941,106
20:18:15.392,270,509,657,271,543,823,426,348,718,473,253,577,577,342,-156,-8228,-648,71,-941,106
20:18:15.392,270,509,657,271,543,823,426,348,718,473,253,577,577,342,-156,-8228,-648,71,-941,106
20:18:15.392,270,509,657,271,543,823,426,348,718,473,253,577,577,342,-156,-8228,-648,71,-941,106
20:18:15.392,270,509,657,271,543,823,426,348,718,473,253,577,577,342,-156,-8228,-648,71,-941,106
20:18:15.393,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.394,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.394,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.394,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.394,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.394,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.395,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.395,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.418,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.435,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.442,269,506,657,269,542,822,425,347,716,472,254,576,577,343,-80,-8400,-500,69,-580,125
20:18:15.476,269,506,655,267,540,823,423,347,714,472,254,573,576,344,-36,-8188,-944,31,-535,-1
20:18:15.486,271,506,654,271,540,823,425,346,712,472,254,572,573,343,-72,-8016,-784,203,-958,-78
20:18:15.519,269,504,652,269,538,823,425,345,711,472,253,571,571,343,-44,-8232,-896,238,-816,-21
20:18:15.535,271,506,651,270,540,823,425,346,707,472,253,569,571,341,-224,-8308,-988,285,-1279,24
20:18:15.552,271,506,651,270,540,823,425,346,707,472,253,569,571,341,-224,-8308,-988,285,-1279,24
20:18:15.568,271,506,651,270,540,823,425,346,707,472,253,569,571,341,-224,-8308,-988,285,-1279,24
20:18:15.590,271,506,651,270,540,823,425,346,707,472,253,569,571,341,-224,-8308,-988,285,-1279,24
20:18:15.610,271,506,651,270,540,823,425,346,707,472,253,569,571,341,-224,-8308,-988,285,-1279,24
20:18:15.627,269,504,649,266,537,824,424,344,700,464,249,572,563,336,208,-8028,-1020,456,-956,-59
20:18:15.643,269,504,649,266,537,824,424,344,700,464,249,572,563,336,208,-8028,-1020,456,-956,-59
20:18:15.676,269,504,649,266,537,824,424,344,700,464,249,572,563,336,208,-8028,-1020,456,-956,-59
20:18:15.693,268,503,647,266,537,823,422,344,700,464,248,572,562,336,372,-8048,-592,492,-884,-70
20:18:15.715,267,502,653,265,536,822,421,343,698,460,248,568,564,334,-356,-7972,-424,544,-950,-177
20:18:15.724,267,502,653,265,536,822,421,343,698,460,248,568,564,334,-356,-7972,-424,544,-950,-177
20:18:15.748,267,502,653,265,536,822,421,343,698,460,248,568,564,334,-356,-7972,-424,544,-950,-177
20:18:15.772,267,502,653,265,536,822,421,343,698,460,248,568,564,334,-356,-7972,-424,544,-950,-177
20:18:15.797,267,502,653,265,536,822,421,343,698,460,248,568,564,334,-356,-7972,-424,544,-950,-177
20:18:15.814,266,500,656,264,533,823,421,343,698,460,249,569,572,332,-496,-8448,-1264,-101,-524,-242
20:18:15.830,265,503,656,265,533,822,421,342,693,457,248,571,584,331,-440,-8236,-920,-93,-686,-236
20:18:15.847,265,503,656,265,533,822,421,342,693,457,248,571,584,331,-440,-8236,-920,-93,-686,-236
20:18:15.863,265,503,656,265,533,822,421,342,693,457,248,571,584,331,-440,-8236,-920,-93,-686,-236
20:18:15.896,264,505,661,261,530,815,418,343,691,457,247,575,593,330,-296,-7720,-956,-140,-703,-393
20:18:15.913,264,508,672,263,531,812,421,345,691,457,247,582,607,332,-632,-8396,-728,-253,-736,-494
20:18:15.938,264,508,672,263,531,812,421,345,691,457,247,582,607,332,-632,-8396,-728,-253,-736,-494
20:18:15.954,264,508,672,263,531,812,421,345,691,457,247,582,607,332,-632,-8396,-728,-253,-736,-494
20:18:15.971,264,508,672,263,531,812,421,345,691,457,247,582,607,332,-632,-8396,-728,-253,-736,-494
20:18:15.987,264,508,672,263,531,812,421,345,691,457,247,582,607,332,-632,-8396,-728,-253,-736,-494
20:18:16.004,263,509,676,261,531,811,420,349,689,460,248,584,612,334,-836,-8156,-820,-301,-542,-542
20:18:16.037,264,514,679,266,529,814,423,354,690,459,249,582,617,339,-1336,-8592,-544,-253,-1437,-555
20:18:16.054,264,514,679,266,529,814,423,354,690,459,249,582,617,339,-1336,-8592,-544,-253,-1437,-555
20:18:16.063,264,514,679,266,529,814,423,354,690,459,249,582,617,339,-1336,-8592,-544,-253,-1437,-555
20:18:16.085,264,514,679,266,529,814,423,354,690,459,249,582,617,339,-1336,-8592,-544,-253,-1437,-555
20:18:16.106,264,515,672,270,525,818,427,364,701,457,253,590,595,337,-2328,-8352,-1188,-520,-2635,-259
20:18:16.130,264,515,672,270,525,818,427,364,701,457,253,590,595,337,-2328,-8352,-1188,-520,-2635,-259
20:18:16.153,264,515,672,270,525,818,427,364,701,457,253,590,595,337,-2328,-8352,-1188,-520,-2635,-259
20:18:16.177,264,515,672,270,525,818,427,364,701,457,253,590,595,337,-2328,-8352,-1188,-520,-2635,-259
20:18:16.194,264,515,672,270,525,818,427,364,701,457,253,590,595,337,-2328,-8352,-1188,-520,-2635,-259
20:18:16.204,264,515,672,270,525,818,427,364,701,457,253,590,595,337,-2328,-8352,-1188,-520,-2635,-259
20:18:16.238,263,512,650,267,521,817,430,370,694,456,250,590,588,338,-2408,-7908,-684,-514,-4007,260
20:18:16.254,263,512,650,267,521,817,430,370,694,456,250,590,588,338,-2408,-7908,-684,-514,-4007,260
20:18:16.271,263,512,650,267,521,817,430,370,694,456,250,590,588,338,-2408,-7908,-684,-514,-4007,260
20:18:16.287,263,512,650,267,521,817,430,370,694,456,250,590,588,338,-2408,-7908,-684,-514,-4007,260
20:18:16.304,263,509,646,267,526,820,433,373,696,457,249,579,586,341,-2556,-7916,-408,-395,-4516,281
20:18:16.328,263,508,643,267,528,818,433,374,705,459,249,573,584,342,-1948,-8012,-52,-306,-4452,190
20:18:16.345,263,508,643,267,528,818,433,374,705,459,249,573,584,342,-1948,-8012,-52,-306,-4452,190
