time,wristR,elbowR,shoulderR,thoraxR,axillaR,scapulaR,backR,backL,scapulaL,axillaL,thoraxL,shoulderL,elbowL,wristL,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
20:08:13.161,218,416,674,256,490,724,403,304,608,428,239,546,480,213,-172,-8116,-1636,128,-909,-49
20:08:13.190,218,417,675,255,491,724,403,303,609,428,238,546,480,213,-84,-8076,-1664,148,-890,4
20:08:13.496,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.496,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.496,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.496,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.496,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.497,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.518,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.518,217,413,679,258,491,726,403,302,615,427,239,538,474,214,-80,-8064,-1776,261,-521,50
20:08:13.544,217,411,679,257,490,727,401,303,613,427,239,537,474,215,-100,-8112,-1724,124,-528,-20
20:08:13.560,216,410,679,258,489,728,401,302,610,428,239,536,473,215,-504,-8120,-1744,117,-1014,22
20:08:13.577,215,411,679,257,490,728,401,302,611,428,238,538,472,214,-192,-8156,-1620,162,-541,58
20:08:13.594,215,411,679,257,490,728,401,302,611,428,238,538,472,214,-192,-8156,-1620,162,-541,58
20:08:13.617,215,411,679,257,490,728,401,302,611,428,238,538,472,214,-192,-8156,-1620,162,-541,58
20:08:13.634,215,411,679,257,490,728,401,302,611,428,238,538,472,214,-192,-8156,-1620,162,-541,58
20:08:13.650,215,411,679,257,490,728,401,302,611,428,238,538,472,214,-192,-8156,-1620,162,-541,58
20:08:13.684,215,409,681,257,489,729,401,302,610,428,239,540,470,212,-112,-8128,-1596,184,-993,69
20:08:13.700,215,409,681,257,489,729,401,302,610,428,239,540,470,212,-112,-8128,-1596,184,-993,69
20:08:13.717,215,409,681,257,489,729,401,302,610,428,239,540,470,212,-112,-8128,-1596,184,-993,69
20:08:13.733,215,409,681,257,489,729,401,302,610,428,239,540,470,212,-112,-8128,-1596,184,-993,69
20:08:13.750,215,409,681,255,489,727,400,301,610,427,238,541,471,211,-20,-8080,-1560,124,-963,-42
20:08:13.775,214,408,684,258,489,728,401,301,610,423,238,544,472,212,-184,-8156,-1692,87,-1008,47
20:08:13.791,212,405,683,256,488,730,401,302,610,427,239,544,473,211,-196,-8152,-1784,55,-981,47
20:08:13.825,215,407,687,257,489,727,401,300,611,427,238,542,473,211,184,-8172,-1436,174,-729,-24
20:08:13.841,214,407,691,258,491,728,401,302,612,428,239,545,475,212,-144,-8068,-1668,294,-654,-81
20:08:13.858,213,407,694,256,491,728,400,302,610,429,239,547,478,211,-412,-8112,-1628,381,-761,-93
20:08:13.874,213,407,694,256,491,728,400,302,610,429,239,547,478,211,-412,-8112,-1628,381,-761,-93
20:08:13.892,214,407,695,258,491,728,401,302,609,429,238,550,478,212,-288,-7964,-1608,410,-285,-161
20:08:13.918,213,406,696,258,492,727,397,303,610,429,239,554,477,212,-696,-7824,-1548,348,-638,-259
20:08:13.935,213,407,697,256,489,731,399,302,611,430,239,561,482,211,-288,-7872,-1828,219,-999,-355
20:08:13.953,212,406,699,256,492,731,401,302,611,429,239,560,481,211,-284,-8048,-1812,149,-924,-385
20:08:13.984,213,407,693,256,489,736,398,302,613,430,239,559,482,212,-964,-8012,-2072,96,-1204,-373
20:08:14.000,213,407,693,256,489,736,398,302,613,430,239,559,482,212,-964,-8012,-2072,96,-1204,-373
20:08:14.032,213,407,693,256,489,736,398,302,613,430,239,559,482,212,-964,-8012,-2072,96,-1204,-373
20:08:14.033,213,407,693,256,489,736,398,302,613,430,239,559,482,212,-964,-8012,-2072,96,-1204,-373
20:08:14.054,213,406,685,257,489,737,402,303,617,433,239,549,484,213,-876,-7528,-2244,-103,-1330,-381
20:08:14.078,214,406,679,257,490,737,405,304,622,433,239,544,480,212,-876,-7300,-2380,-482,-1609,-303
20:08:14.110,214,406,679,257,490,737,405,304,622,433,239,544,480,212,-876,-7300,-2380,-482,-1609,-303
20:08:14.111,214,406,679,257,490,737,405,304,622,433,239,544,480,212,-876,-7300,-2380,-482,-1609,-303
20:08:14.134,213,406,668,257,493,749,407,310,650,433,242,540,477,212,-1352,-7812,-2056,-972,-2395,-118
20:08:14.150,213,406,668,254,492,749,407,313,661,434,242,540,477,212,-1304,-7704,-1860,-1005,-2319,18
20:08:14.183,212,406,667,256,493,752,407,315,666,434,242,541,479,212,-1424,-7992,-1584,-1137,-2706,144
20:08:14.200,214,406,663,258,495,753,407,318,675,433,242,543,479,212,-1512,-8252,-1956,-1223,-2675,141
20:08:14.216,213,404,666,256,497,753,409,319,680,435,242,544,481,212,-1536,-8028,-1784,-1495,-3017,272
20:08:14.233,213,403,667,258,500,755,409,321,686,438,243,546,483,211,-1112,-7800,-1768,-1584,-2903,395
20:08:14.250,215,403,667,259,503,756,409,325,695,442,244,548,488,211,-1276,-7808,-1264,-1501,-2900,497
20:08:14.273,215,403,667,259,503,756,409,325,695,442,244,548,488,211,-1276,-7808,-1264,-1501,-2900,497
20:08:14.290,213,404,666,258,509,756,408,329,705,447,244,552,494,210,-604,-7740,-620,-1652,-3033,586
20:08:14.323,213,404,666,258,509,756,408,329,705,447,244,552,494,210,-604,-7740,-620,-1652,-3033,586
20:08:14.340,212,404,668,257,513,758,410,334,712,455,245,562,502,209,-884,-7628,-652,-1905,-2929,730
20:08:14.356,215,404,669,260,519,755,411,337,718,465,246,572,506,210,-320,-7204,-456,-2231,-2575,764
20:08:14.383,215,404,669,260,519,755,411,337,718,465,246,572,506,210,-320,-7204,-456,-2231,-2575,764
20:08:14.399,215,404,669,260,519,755,411,337,718,465,246,572,506,210,-320,-7204,-456,-2231,-2575,764
20:08:14.416,215,404,669,260,519,755,411,337,718,465,246,572,506,210,-320,-7204,-456,-2231,-2575,764
20:08:14.433,215,407,673,261,522,748,412,340,722,473,247,588,512,211,-132,-6528,-72,-2622,-2419,805
20:08:14.449,214,411,677,263,530,740,414,347,725,485,248,606,517,210,60,-5880,44,-3013,-2114,1023
20:08:14.482,214,411,678,264,536,737,417,352,730,494,250,616,523,210,-76,-5972,648,-3187,-2247,1157
20:08:14.499,216,410,683,266,540,736,418,357,733,500,250,620,528,210,184,-5584,1104,-3593,-2195,1109
20:08:14.516,216,410,683,266,540,736,418,357,733,500,250,620,528,210,184,-5584,1104,-3593,-2195,1109
20:08:14.530,216,410,683,266,540,736,418,357,733,500,250,620,528,210,184,-5584,1104,-3593,-2195,1109
20:08:14.554,216,410,683,266,540,736,418,357,733,500,250,620,528,210,184,-5584,1104,-3593,-2195,1109
20:08:14.570,215,412,691,270,548,731,425,370,731,515,252,621,532,209,668,-5868,1580,-3990,-1995,1227
20:08:14.603,215,411,696,269,552,731,429,374,729,522,253,619,532,209,336,-5856,1668,-3364,-1953,1191
20:08:14.620,214,410,701,268,555,732,432,381,722,528,257,614,532,209,-416,-5512,1920,-2660,-2369,902
