time,wristR,elbowR,shoulderR,thoraxR,axillaR,scapulaR,backR,backL,scapulaL,axillaL,thoraxL,shoulderL,elbowL,wristL,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
23:48:22.203,204,475,608,239,450,714,321,301,581,447,207,518,496,217,184,-7980,-1572,135,-904,-213
23:48:22.248,205,474,605,239,450,711,320,300,580,446,207,519,496,218,-160,-8004,-1564,129,-1012,-108
23:48:22.539,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.539,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.539,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.539,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.539,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.539,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.539,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.539,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.540,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.540,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.540,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.540,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.540,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.540,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.540,204,472,592,239,449,711,320,301,571,444,206,516,493,218,-440,-7900,-1956,140,-625,-68
23:48:22.562,205,473,591,239,448,712,319,301,571,443,207,515,493,218,-504,-7968,-1956,92,-958,0
23:48:22.579,202,471,588,238,448,715,318,301,571,444,207,515,493,218,-448,-8060,-1548,111,-563,-161
23:48:22.595,202,471,588,238,448,715,318,301,571,444,207,515,493,218,-448,-8060,-1548,111,-563,-161
23:48:22.612,204,472,589,239,447,716,319,300,571,444,206,513,492,218,-428,-7900,-2032,122,-999,-108
23:48:22.645,204,471,585,239,446,716,317,300,570,442,207,513,494,219,-424,-8004,-2040,137,-532,-103
23:48:22.661,204,471,585,239,446,716,317,300,570,442,207,513,494,219,-424,-8004,-2040,137,-532,-103
23:48:22.678,203,470,583,239,447,716,318,298,572,442,206,512,492,218,-404,-8092,-1972,87,-525,-97
23:48:22.695,203,470,583,239,447,716,318,298,572,442,206,512,492,218,-404,-8092,-1972,87,-525,-97
23:48:22.726,203,470,583,239,447,716,318,298,572,442,206,512,492,218,-404,-8092,-1972,87,-525,-97
23:48:22.739,202,471,583,237,445,717,316,298,572,442,206,513,491,218,-404,-8124,-1616,69,-516,-138
23:48:22.759,205,469,583,240,446,718,318,299,576,441,206,514,490,218,-424,-8132,-1956,155,-543,-80
23:48:22.773,205,469,583,240,446,718,318,299,576,441,206,514,490,218,-424,-8132,-1956,155,-543,-80
23:48:22.801,201,468,583,236,444,718,317,299,577,442,206,514,492,218,-384,-8092,-1956,133,-566,-115
23:48:22.817,202,468,583,238,444,718,319,299,578,442,207,515,493,217,-400,-8096,-2016,123,-920,-79
23:48:22.834,202,468,583,238,444,718,319,299,578,442,207,515,493,217,-400,-8096,-2016,123,-920,-79
23:48:22.851,204,469,581,239,445,712,319,298,578,442,207,515,492,218,-312,-7964,-1852,56,-971,-102
23:48:22.879,204,469,581,239,445,712,319,298,578,442,207,515,492,218,-312,-7964,-1852,56,-971,-102
23:48:22.896,204,469,581,239,445,712,319,298,578,442,207,515,492,218,-312,-7964,-1852,56,-971,-102
23:48:22.913,204,469,581,239,445,712,319,298,578,442,207,515,492,218,-312,-7964,-1852,56,-971,-102
23:48:22.946,205,495,582,239,445,712,320,298,580,442,206,515,492,221,-272,-7984,-2044,-5,-575,-101
23:48:22.963,205,495,582,239,445,712,320,298,580,442,206,515,492,221,-272,-7984,-2044,-5,-575,-101
23:48:22.974,205,501,581,239,445,711,319,298,580,442,206,513,490,222,-320,-7884,-1644,-47,-913,-135
23:48:22.991,207,527,584,238,444,707,320,298,577,443,207,507,499,225,-552,-8124,-1760,-123,-551,-95
23:48:23.019,207,527,584,238,444,707,320,298,577,443,207,507,499,225,-552,-8124,-1760,-123,-551,-95
23:48:23.035,207,539,587,240,442,706,320,299,574,444,206,509,518,225,-732,-8328,-1572,-17,-539,-90
23:48:23.052,208,545,590,240,446,706,322,299,574,446,206,510,531,226,-728,-8140,-1684,-25,-547,-48
23:48:23.085,210,553,588,239,447,704,321,300,570,448,206,512,560,227,-844,-8044,-1620,-30,-562,-78
23:48:23.095,210,553,588,239,447,704,321,300,570,448,206,512,560,227,-844,-8044,-1620,-30,-562,-78
23:48:23.112,211,557,588,240,447,703,322,300,571,449,206,515,574,227,-864,-8112,-1720,-49,-595,-125
23:48:23.145,209,560,586,237,445,702,322,300,571,451,206,518,602,227,-564,-8032,-1292,-26,-528,-58
23:48:23.162,212,566,588,238,446,700,323,300,571,452,206,519,613,228,-988,-8152,-1716,34,-621,35
23:48:23.178,215,576,586,239,446,702,322,300,574,453,206,520,634,228,-544,-8256,-1652,50,-568,27
23:48:23.211,215,576,586,239,446,702,322,300,574,453,206,520,634,228,-544,-8256,-1652,50,-568,27
23:48:23.212,215,576,586,239,446,702,322,300,574,453,206,520,634,228,-544,-8256,-1652,50,-568,27
23:48:23.238,214,581,582,236,445,710,321,300,577,454,206,523,651,229,-912,-8136,-1736,35,-932,115
23:48:23.264,218,590,582,239,445,722,322,301,581,455,206,526,665,231,-960,-8060,-1700,126,-517,183
23:48:23.281,218,590,582,239,445,722,322,301,581,455,206,526,665,231,-960,-8060,-1700,126,-517,183
23:48:23.297,218,590,582,239,445,722,322,301,581,455,206,526,665,231,-960,-8060,-1700,126,-517,183
23:48:23.314,218,590,582,239,445,722,322,301,581,455,206,526,665,231,-960,-8060,-1700,126,-517,183
23:48:23.347,225,599,590,240,451,762,326,302,623,463,205,534,688,235,-1152,-8132,-1720,6,-1188,167
