time,wristR,elbowR,shoulderR,thoraxR,axillaR,scapulaR,backR,backL,scapulaL,axillaL,thoraxL,shoulderL,elbowL,wristL,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
15:47:14.500,232,463,538,247,505,626,349,222,572,465,201,426,466,275,792,-7144,-4088,508,-1405,110
15:47:14.527,231,459,537,245,503,625,348,223,572,465,201,426,466,275,1172,-6916,-3652,389,-1480,53
15:47:14.825,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.825,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.825,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.825,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.826,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.826,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.826,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.826,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.826,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.826,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.826,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.826,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.827,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.827,231,448,563,242,496,628,342,217,571,457,200,417,460,269,900,-7244,-3940,217,-1030,-67
15:47:14.850,233,449,566,245,497,628,341,215,571,455,200,417,461,268,828,-7336,-3528,134,-1137,-16
15:47:14.850,233,449,566,245,497,628,341,215,571,455,200,417,461,268,828,-7336,-3528,134,-1137,-16
15:47:14.866,232,445,567,245,493,623,340,215,570,453,200,415,460,268,1216,-7192,-3776,-84,-912,10
15:47:14.900,232,445,567,244,495,622,339,215,570,452,199,415,460,268,920,-7260,-3724,5,-998,26
15:47:14.916,230,441,566,241,494,618,339,215,570,452,199,414,459,267,864,-7404,-3788,31,-904,-68
15:47:14.933,230,441,566,241,494,618,339,215,570,452,199,414,459,267,864,-7404,-3788,31,-904,-68
15:47:14.949,233,446,563,243,493,615,337,215,570,451,199,413,458,268,548,-7324,-3728,23,-826,-87
15:47:14.966,233,446,563,243,493,615,337,215,570,451,199,413,458,268,548,-7324,-3728,23,-826,-87
15:47:14.999,230,444,559,239,491,613,337,214,569,450,199,412,458,267,984,-7344,-4088,38,-907,32
15:47:15.015,230,444,559,239,491,613,337,214,569,450,199,412,458,267,984,-7344,-4088,38,-907,32
15:47:15.032,231,443,558,240,491,612,339,214,567,450,199,412,457,267,1000,-7076,-3604,-23,-819,-65
15:47:15.049,232,443,555,241,491,612,338,214,565,450,198,411,457,266,512,-7328,-3660,-62,-1255,-3
15:47:15.065,232,443,555,241,491,612,338,214,565,450,198,411,457,266,512,-7328,-3660,-62,-1255,-3
15:47:15.099,229,441,550,240,489,610,337,214,560,449,199,410,456,265,816,-7308,-3456,27,-933,-27
15:47:15.115,229,441,550,240,489,610,337,214,560,449,199,410,456,265,816,-7308,-3456,27,-933,-27
15:47:15.131,229,441,550,240,489,610,337,214,560,449,199,410,456,265,816,-7308,-3456,27,-933,-27
15:47:15.148,229,443,546,239,487,608,335,213,560,447,199,409,455,264,948,-7372,-3412,48,-889,-33
15:47:15.181,229,441,541,239,486,605,334,212,558,447,198,408,454,264,604,-7556,-3804,49,-942,-24
15:47:15.198,229,441,541,239,486,605,334,212,558,447,198,408,454,264,604,-7556,-3804,49,-942,-24
15:47:15.214,227,440,540,237,484,608,333,212,557,447,199,408,455,263,992,-7320,-3364,71,-1013,-42
15:47:15.234,229,442,541,239,486,606,334,212,555,446,199,408,455,262,796,-7352,-3368,84,-958,-22
15:47:15.251,230,442,542,240,485,608,334,212,556,445,199,407,455,261,1188,-7396,-3396,45,-551,-16
15:47:15.267,230,442,542,240,485,608,334,212,556,445,199,407,455,261,1188,-7396,-3396,45,-551,-16
15:47:15.300,229,442,540,239,486,609,334,212,556,445,199,407,455,261,1220,-7468,-3828,50,-563,111
15:47:15.316,228,444,537,237,484,610,331,211,554,445,198,407,455,260,956,-7532,-3500,63,-576,17
15:47:15.333,229,445,537,239,484,609,331,212,553,444,199,407,454,260,1008,-7416,-3352,68,-1007,33
15:47:15.350,229,445,537,239,484,609,331,212,553,444,199,407,454,260,1008,-7416,-3352,68,-1007,33
15:47:15.366,229,445,537,239,484,609,331,212,553,444,199,407,454,260,1008,-7416,-3352,68,-1007,33
15:47:15.399,230,446,535,236,482,605,330,212,553,444,198,406,453,259,800,-7196,-3524,-19,-583,39
15:47:15.416,227,443,535,236,483,606,331,212,553,444,198,406,453,259,888,-7252,-3412,-53,-719,131
15:47:15.432,229,441,535,239,484,607,331,213,553,444,198,407,453,259,880,-7404,-3560,-122,-759,54
15:47:15.449,229,447,536,238,483,607,331,212,554,443,198,406,452,258,524,-7416,-3700,-37,-715,101
15:47:15.465,229,447,536,238,483,607,331,212,554,443,198,406,452,258,524,-7416,-3700,-37,-715,101
15:47:15.499,227,438,534,236,482,607,332,215,555,442,199,405,451,259,996,-7584,-3476,173,-730,124
15:47:15.515,229,436,530,235,483,602,328,215,558,442,198,405,449,258,888,-7336,-3092,192,-716,145
15:47:15.532,229,436,530,235,483,602,328,215,558,442,198,405,449,258,888,-7336,-3092,192,-716,145
15:47:15.548,228,436,530,238,480,601,329,215,557,442,198,405,450,258,892,-7456,-3480,128,-264,107
15:47:15.567,228,436,531,238,483,603,331,216,556,442,198,404,450,258,528,-7308,-3540,103,-748,217
15:47:15.601,228,435,529,236,481,599,329,215,551,442,197,403,451,257,1252,-7220,-3416,34,-286,176
15:47:15.617,228,435,529,236,481,599,329,215,551,442,197,403,451,257,1252,-7220,-3416,34,-286,176
15:47:15.634,228,435,529,236,481,599,329,215,551,442,197,403,451,257,1252,-7220,-3416,34,-286,176
15:47:15.650,226,433,530,237,483,597,330,215,545,442,198,403,451,257,956,-7360,-3576,1,-759,158
15:47:15.667,226,433,530,237,483,597,330,215,545,442,198,403,451,257,956,-7360,-3576,1,-759,158
15:47:15.700,227,435,529,235,480,596,327,214,547,442,198,402,452,258,896,-7380,-3528,62,-662,189
15:47:15.717,227,435,529,235,480,596,327,214,547,442,198,402,452,258,896,-7380,-3528,62,-662,189
15:47:15.733,227,435,529,235,480,596,327,214,547,442,198,402,452,258,896,-7380,-3528,62,-662,189
15:47:15.750,227,432,528,236,480,592,325,213,548,442,199,403,451,258,948,-7396,-3400,-14,-271,228
15:47:15.766,228,434,530,238,479,593,327,213,547,440,198,402,453,257,540,-7388,-3456,11,-664,94
15:47:15.800,228,434,529,237,479,593,326,213,546,439,198,402,452,257,984,-7620,-3516,-11,-681,20
15:47:15.819,227,435,529,237,479,594,326,213,544,439,199,401,451,257,988,-7640,-3484,-49,-552,10
15:47:15.836,227,435,529,237,479,594,326,213,544,439,199,401,451,257,988,-7640,-3484,-49,-552,10
15:47:15.852,227,435,529,237,479,594,326,213,544,439,199,401,451,257,988,-7640,-3484,-49,-552,10
15:47:15.869,225,431,525,235,476,595,324,213,544,439,198,401,450,256,912,-7404,-3512,-60,-667,62
15:47:15.885,227,433,523,236,478,594,325,213,544,438,198,400,449,256,1144,-7232,-3524,-192,-266,-41
15:47:15.919,227,431,527,236,480,593,323,212,542,438,198,401,449,256,1132,-6916,-3684,-491,-477,6
15:47:15.935,228,431,529,237,478,593,324,212,541,437,198,400,448,256,1204,-7156,-3352,-654,-87,5
15:47:15.952,225,430,529,235,477,592,322,212,543,436,197,399,447,255,1220,-7372,-3520,-713,-90,24
15:47:15.969,228,432,529,236,479,591,323,212,544,436,198,400,448,256,1208,-7708,-3556,-612,-203,166
15:47:16.002,226,432,529,236,478,588,323,212,546,435,198,400,449,256,1520,-7756,-2996,-471,210,275
15:47:16.018,226,432,529,236,478,588,323,212,546,435,198,400,449,256,1520,-7756,-2996,-471,210,275
15:47:16.035,228,433,531,236,478,589,326,212,544,435,198,399,449,256,1104,-7520,-2660,-407,106,288
15:47:16.051,228,433,531,236,478,589,326,212,544,435,198,399,449,256,1104,-7520,-2660,-407,106,288
15:47:16.068,227,429,532,235,477,590,327,212,547,435,197,399,449,256,1232,-7644,-2844,-518,67,264
15:47:16.101,228,428,529,236,476,590,325,212,546,436,197,398,449,256,796,-7700,-2704,-394,86,360
15:47:16.117,226,429,529,234,476,595,325,212,547,435,198,398,450,256,1216,-7684,-2776,-469,373,308
15:47:16.134,226,429,529,234,476,595,325,212,547,435,198,398,450,256,1216,-7684,-2776,-469,373,308
15:47:16.151,227,431,529,236,477,599,325,213,547,436,198,398,451,255,824,-7964,-2320,-487,348,373
15:47:16.167,226,431,530,236,474,603,324,213,552,435,198,397,450,255,1004,-8120,-2680,-327,474,270
15:47:16.201,228,433,532,236,476,604,327,214,553,435,199,398,450,256,568,-7928,-2792,-250,469,295
15:47:16.217,227,433,533,236,476,609,328,214,553,436,199,398,448,255,972,-7856,-2408,-91,-253,291
15:47:16.234,227,433,533,236,476,609,328,214,553,436,199,398,448,255,972,-7856,-2408,-91,-253,291
15:47:16.250,227,433,533,236,476,609,328,214,553,436,199,398,448,255,972,-7856,-2408,-91,-253,291
15:47:16.267,227,430,534,236,479,611,327,213,555,436,199,397,446,256,656,-7788,-2320,113,-198,126
15:47:16.300,227,430,534,236,479,611,327,213,555,436,199,397,446,256,656,-7788,-2320,113,-198,126
15:47:16.317,225,427,533,235,480,611,329,213,556,436,199,397,446,257,592,-7776,-2360,65,-97,196
15:47:16.333,226,426,535,234,478,613,327,212,558,436,199,397,447,261,276,-7732,-2336,183,-311,179
15:47:16.349,227,428,536,236,480,614,329,211,559,436,199,398,448,261,424,-7768,-2340,233,-265,177
15:47:16.366,227,428,536,236,480,614,329,211,559,436,199,398,448,261,424,-7768,-2340,233,-265,177
15:47:16.400,227,429,535,236,478,622,326,211,559,436,201,399,450,263,20,-7804,-2572,211,-574,267
15:47:16.416,227,429,535,236,478,622,326,211,559,436,201,399,450,263,20,-7804,-2572,211,-574,267
15:47:16.433,226,429,538,235,479,633,329,211,559,435,200,397,450,262,-192,-7904,-3024,240,-775,126
15:47:16.449,226,429,538,235,479,633,329,211,559,435,200,397,450,262,-192,-7904,-3024,240,-775,126
15:47:16.466,227,432,538,238,481,640,329,211,559,435,200,397,451,262,-208,-7932,-3048,175,-1132,11
15:47:16.498,228,432,538,237,481,646,328,212,560,432,200,398,451,261,-476,-8060,-2620,155,-1087,-154
15:47:16.515,228,432,538,237,481,646,328,212,560,432,200,398,451,261,-476,-8060,-2620,155,-1087,-154
15:47:16.532,227,435,535,236,479,655,327,212,560,434,201,397,451,259,-132,-8364,-3068,80,-1367,-239
15:47:16.549,228,438,535,237,481,667,326,213,560,433,201,397,452,258,-164,-8512,-2664,75,-1616,-256
15:47:16.581,228,442,534,237,481,671,324,215,560,434,201,397,452,257,-408,-8224,-2888,109,-1984,-413
