time,wristR,elbowR,shoulderR,thoraxR,axillaR,scapulaR,backR,backL,scapulaL,axillaL,thoraxL,shoulderL,elbowL,wristL,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
16:27:27.812,205,409,503,336,426,450,305,262,541,387,228,469,528,225,-400,-7564,-2928,185,-850,56
16:27:27.828,205,408,503,336,426,450,305,262,541,386,228,471,527,225,-12,-7520,-3240,106,-957,9
16:27:27.845,205,408,503,336,426,450,305,262,541,386,228,471,527,225,-12,-7520,-3240,106,-957,9
16:27:27.861,205,410,503,336,426,450,305,262,540,386,227,470,527,225,-504,-7644,-3180,78,-947,-31
16:27:27.895,205,407,503,335,425,449,305,261,539,386,227,469,526,224,-496,-7520,-3292,182,-930,-8
16:27:27.911,205,407,502,335,425,450,304,261,537,385,227,470,526,224,-436,-7588,-3208,178,-987,-68
16:27:27.928,205,408,500,335,425,450,301,260,538,385,227,471,527,224,-496,-7616,-3268,139,-962,-26
16:27:27.944,205,408,500,335,425,450,301,260,538,385,227,471,527,224,-496,-7616,-3268,139,-962,-26
16:27:27.961,205,408,500,335,425,450,301,260,538,385,227,471,527,224,-496,-7616,-3268,139,-962,-26
16:27:27.994,203,405,502,335,425,451,303,260,537,385,227,471,526,224,-348,-7468,-3180,156,-941,97
16:27:28.010,206,408,502,336,425,450,304,261,538,385,227,472,526,224,-392,-7660,-3212,144,-859,50
16:27:28.027,206,408,502,336,425,450,304,261,538,385,227,472,526,224,-392,-7660,-3212,144,-859,50
16:27:28.044,203,406,502,333,425,450,304,259,537,385,227,471,525,224,-484,-7648,-3208,154,-859,13
16:27:28.061,204,407,502,335,425,449,305,260,538,385,227,468,525,225,-396,-7620,-3288,129,-942,40
16:27:28.093,204,407,502,334,426,449,304,259,537,385,226,471,525,225,-424,-7580,-3236,97,-987,51
16:27:28.110,204,407,502,334,426,449,304,259,537,385,226,471,525,225,-424,-7580,-3236,97,-987,51
16:27:28.126,205,407,502,335,425,450,304,260,537,385,226,471,525,225,-460,-7488,-3196,38,-903,1
16:27:28.143,205,407,502,335,425,450,304,260,537,385,226,471,525,225,-460,-7488,-3196,38,-903,1
16:27:28.160,205,407,502,335,425,450,304,260,537,385,226,471,525,225,-460,-7488,-3196,38,-903,1
16:27:28.193,205,407,501,334,424,448,301,259,536,386,227,471,524,223,-448,-7572,-3236,112,-952,87
16:27:28.210,205,407,501,334,424,448,301,259,536,386,227,471,524,223,-448,-7572,-3236,112,-952,87
16:27:28.226,205,407,501,334,424,448,301,259,536,386,227,471,524,223,-448,-7572,-3236,112,-952,87
16:27:28.243,205,407,498,334,425,449,302,259,534,384,227,470,526,225,-496,-7536,-3132,132,-934,5
16:27:28.259,205,407,498,334,425,449,302,259,534,384,227,470,526,225,-496,-7536,-3132,132,-934,5
16:27:28.292,204,407,501,332,424,448,303,260,535,383,226,470,524,224,-464,-7484,-3276,155,-925,84
16:27:28.309,204,407,501,332,424,448,303,260,535,383,226,470,524,224,-464,-7484,-3276,155,-925,84
16:27:28.325,206,407,495,333,424,450,305,259,532,384,226,470,524,224,-504,-7644,-3324,150,-864,66
16:27:28.342,205,407,498,333,425,449,304,259,534,385,226,467,524,224,-112,-7496,-3220,221,-951,73
16:27:28.359,205,407,498,333,425,449,304,259,534,385,226,467,524,224,-112,-7496,-3220,221,-951,73
16:27:28.391,205,407,499,333,425,450,305,259,535,385,226,468,524,224,-32,-7580,-3240,124,-889,-14
16:27:28.408,206,407,498,333,422,451,304,259,535,384,226,468,523,224,-120,-7596,-2840,221,-932,100
16:27:28.425,206,407,498,333,422,451,304,259,535,384,226,468,523,224,-120,-7596,-2840,221,-932,100
16:27:28.441,204,406,499,329,424,450,305,260,534,385,226,468,523,224,-48,-7572,-3292,161,-1021,58
16:27:28.474,205,408,499,334,424,449,305,259,533,384,225,468,523,224,-504,-7592,-3212,160,-979,53
16:27:28.491,205,408,499,334,424,449,305,259,533,384,225,468,523,224,-504,-7592,-3212,160,-979,53
16:27:28.508,205,408,499,334,424,449,305,259,533,384,225,468,523,224,-504,-7592,-3212,160,-979,53
16:27:28.524,207,407,500,333,424,449,305,260,534,385,225,467,524,225,-12,-7456,-3248,165,-987,12
16:27:28.541,204,407,499,332,424,449,306,260,534,384,225,467,523,225,-76,-7556,-3160,131,-966,9
16:27:28.574,206,407,501,331,423,449,305,260,535,384,226,467,523,223,-84,-7624,-3192,85,-921,9
16:27:28.591,206,407,501,331,423,449,305,260,535,384,226,467,523,223,-84,-7624,-3192,85,-921,9
16:27:28.607,204,407,500,333,423,449,305,260,532,383,226,466,522,223,-508,-7688,-3132,196,-932,56
16:27:28.624,204,407,500,333,423,449,305,260,532,383,226,466,522,223,-508,-7688,-3132,196,-932,56
16:27:28.640,204,407,500,333,423,449,305,260,532,383,226,466,522,223,-508,-7688,-3132,196,-932,56
16:27:28.673,205,407,501,331,423,450,305,261,533,384,226,467,521,223,-56,-7488,-2856,66,-928,34
16:27:28.690,205,407,500,329,423,448,304,261,534,383,226,466,521,222,-40,-7476,-3236,83,-969,-12
16:27:28.706,205,407,500,329,423,448,304,261,534,383,226,466,521,222,-40,-7476,-3236,83,-969,-12
16:27:28.723,206,407,500,332,424,448,307,261,531,383,226,467,521,223,-104,-7632,-3200,61,-965,26
16:27:28.739,206,407,500,332,424,448,307,261,531,383,226,467,521,223,-104,-7632,-3200,61,-965,26
16:27:28.772,205,407,499,332,423,448,305,261,532,382,226,466,521,222,-16,-7656,-2832,41,-963,13
16:27:28.789,205,407,499,332,423,448,305,261,532,382,226,466,521,222,-16,-7656,-2832,41,-963,13
16:27:28.806,205,407,499,332,423,448,305,261,532,382,226,466,521,222,-16,-7656,-2832,41,-963,13
16:27:28.822,205,407,498,332,423,447,306,261,530,383,226,467,521,222,-20,-7584,-3320,81,-1022,-41
16:27:28.855,204,406,497,329,421,445,303,261,531,384,225,465,520,222,-84,-7628,-3324,97,-954,-49
16:27:28.872,204,406,497,329,421,445,303,261,531,384,225,465,520,222,-84,-7628,-3324,97,-954,-49
16:27:28.889,206,406,498,332,424,447,306,261,530,382,226,464,519,222,-468,-7764,-3248,59,-943,12
16:27:28.905,206,406,498,332,424,447,306,261,530,382,226,464,519,222,-468,-7764,-3248,59,-943,12
16:27:28.921,206,406,498,332,424,447,306,261,530,382,226,464,519,222,-468,-7764,-3248,59,-943,12
16:27:28.955,205,407,495,331,423,446,304,262,530,383,226,465,520,222,-484,-7624,-3260,54,-951,45
16:27:28.971,206,406,497,329,424,446,304,261,530,383,225,465,520,222,-40,-7684,-2828,131,-1014,86
16:27:28.988,205,407,498,332,423,446,306,261,529,383,225,464,520,223,-472,-7648,-3308,177,-1021,-8
16:27:29.005,205,407,498,332,423,446,306,261,529,383,225,464,520,223,-472,-7648,-3308,177,-1021,-8
16:27:29.021,205,406,495,331,424,445,303,261,530,383,225,464,520,222,-64,-7608,-2828,88,-998,123
16:27:29.055,206,407,497,332,423,445,304,260,530,384,225,465,519,221,-28,-7652,-3304,108,-987,22
16:27:29.071,206,407,498,332,423,445,302,260,530,383,225,464,519,223,-512,-7664,-3296,72,-871,25
16:27:29.088,206,407,498,332,423,445,302,260,530,383,225,464,519,223,-512,-7664,-3296,72,-871,25
16:27:29.104,205,407,498,331,424,446,305,259,529,382,225,464,520,223,-40,-7588,-2836,102,-952,61
16:27:29.120,205,407,498,331,424,446,305,259,529,382,225,464,520,223,-40,-7588,-2836,102,-952,61
16:27:29.154,206,407,497,332,423,445,304,259,528,383,224,465,519,223,-508,-7588,-2840,129,-1000,-55
16:27:29.170,206,406,498,331,423,445,304,259,530,384,225,464,520,222,-472,-7600,-3320,58,-514,-18
16:27:29.187,206,406,498,331,423,445,304,259,530,384,225,464,520,222,-472,-7600,-3320,58,-514,-18
16:27:29.203,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.220,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.253,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.270,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.286,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.303,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.319,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.353,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.369,205,405,497,330,423,445,303,258,529,383,225,464,519,222,-496,-7656,-3168,106,-939,62
16:27:29.385,205,407,498,332,423,445,304,259,529,382,224,464,518,222,-472,-7548,-3012,114,-966,29
16:27:29.402,205,405,497,330,422,445,303,259,529,383,225,465,519,223,-496,-7596,-2848,70,-894,-3
16:27:29.436,204,404,496,332,422,446,302,258,529,382,224,464,519,223,-480,-7772,-2876,115,-964,19
16:27:29.452,204,404,496,332,422,446,302,258,529,382,224,464,519,223,-480,-7772,-2876,115,-964,19
16:27:29.469,204,404,496,332,422,446,302,258,529,382,224,464,519,223,-480,-7772,-2876,115,-964,19
16:27:29.486,204,404,496,332,422,446,302,258,529,382,224,464,519,223,-480,-7772,-2876,115,-964,19
16:27:29.501,205,404,498,327,422,447,301,257,528,383,225,465,520,222,-496,-7628,-2872,93,-978,-85
16:27:29.535,206,405,499,331,423,447,302,257,529,383,224,463,520,222,-492,-7636,-3280,174,-966,-9
