time,wristR,elbowR,shoulderR,thoraxR,axillaR,scapulaR,backR,backL,scapulaL,axillaL,thoraxL,shoulderL,elbowL,wristL,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
16:06:32.541,222,453,484,272,477,490,288,237,457,357,247,476,419,235,-360,-7836,-3024,198,-881,14
16:06:32.569,222,453,484,272,477,490,288,237,457,357,247,476,419,235,-360,-7836,-3024,198,-881,14
16:06:32.873,231,466,524,271,472,505,286,244,468,354,245,476,421,242,44,-7656,-2520,-330,-1051,175
16:06:32.873,231,466,524,271,472,505,286,244,468,354,245,476,421,242,44,-7656,-2520,-330,-1051,175
16:06:32.873,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.873,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.874,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.875,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.875,230,462,525,270,472,505,286,244,471,356,247,481,418,243,364,-8252,-2072,-341,-1189,110
16:06:32.894,232,462,527,271,474,507,286,246,472,357,247,486,417,243,372,-8556,-2104,-321,-1165,249
16:06:32.911,232,462,530,271,473,507,287,247,474,357,247,489,417,243,368,-8104,-2476,-189,-1225,270
16:06:32.930,232,462,530,271,473,507,287,247,474,357,247,489,417,243,368,-8104,-2476,-189,-1225,270
16:06:32.963,231,456,532,268,474,504,289,247,478,360,247,493,420,243,752,-7696,-2556,-432,-799,394
16:06:32.980,231,456,532,268,474,504,289,247,478,360,247,493,420,243,752,-7696,-2556,-432,-799,394
16:06:32.996,229,454,535,269,472,500,287,244,476,361,248,500,419,240,980,-7876,-2556,-524,-1250,489
16:06:33.013,229,454,535,269,472,499,288,243,475,360,249,497,419,239,1176,-7964,-1896,-545,-1231,556
16:06:33.046,226,452,535,269,470,498,288,243,473,360,248,496,417,238,1512,-8616,-1956,-598,-1183,470
16:06:33.062,227,451,536,269,470,497,284,242,472,358,249,495,416,236,1028,-8620,-1564,-427,-1191,325
16:06:33.079,224,450,534,268,470,496,287,241,471,358,248,489,415,237,1076,-8444,-1620,-374,-1141,307
16:06:33.096,226,448,533,269,469,495,288,241,468,358,248,488,416,236,1100,-8228,-1752,-296,-1199,289
16:06:33.112,226,448,533,269,469,495,288,241,468,358,248,488,416,236,1100,-8228,-1752,-296,-1199,289
16:06:33.146,225,445,524,268,468,492,285,239,463,356,246,491,415,236,1292,-7788,-1368,-163,-1042,225
16:06:33.162,225,445,523,268,468,492,287,238,462,357,246,492,415,236,1560,-7836,-1420,-87,-1139,172
16:06:33.178,224,445,520,268,471,490,289,238,460,359,245,494,413,236,1536,-8044,-1736,25,-1436,143
16:06:33.195,224,445,520,268,471,490,289,238,460,359,245,494,413,236,1536,-8044,-1736,25,-1436,143
16:06:33.212,224,445,520,268,471,490,289,238,460,359,245,494,413,236,1536,-8044,-1736,25,-1436,143
16:06:33.244,226,444,517,267,467,500,287,239,459,359,245,497,412,237,1520,-7852,-1696,278,-1568,-80
16:06:33.261,226,444,517,267,467,500,287,239,459,359,245,497,412,237,1520,-7852,-1696,278,-1568,-80
16:06:33.278,226,445,516,269,468,504,289,238,457,359,244,497,413,237,1460,-7896,-1656,236,-2297,-228
16:06:33.294,227,445,517,268,469,508,288,238,456,359,244,495,414,237,1076,-7920,-1752,244,-2291,-404
16:06:33.311,227,445,517,268,469,508,288,238,456,359,244,495,414,237,1076,-7920,-1752,244,-2291,-404
16:06:33.344,225,444,514,267,470,515,289,237,457,356,244,495,415,236,1448,-8016,-1028,354,-2548,-437
16:06:33.361,225,444,514,267,470,515,289,237,457,356,244,495,415,236,1448,-8016,-1028,354,-2548,-437
16:06:33.377,225,445,513,271,471,528,295,237,457,356,244,496,415,237,812,-7672,-1380,106,-2374,-765
16:06:33.394,228,446,510,272,472,536,299,237,455,354,244,496,414,236,1080,-8000,-1600,219,-2762,-911
16:06:33.410,228,446,510,272,472,536,299,237,455,354,244,496,414,236,1080,-8000,-1600,219,-2762,-911
16:06:33.444,226,443,510,271,472,540,300,238,455,355,244,495,414,236,1556,-8292,-1580,479,-2357,-890
16:06:33.460,227,437,504,274,471,526,298,239,457,353,243,496,415,233,1844,-8320,-1428,646,-2133,-680
16:06:33.476,227,437,504,274,471,526,298,239,457,353,243,496,415,233,1844,-8320,-1428,646,-2133,-680
16:06:33.493,226,438,510,275,471,523,298,239,457,353,242,494,416,233,1712,-8308,-1636,657,-2273,-599
16:06:33.510,226,438,510,275,471,523,298,239,457,353,242,494,416,233,1712,-8308,-1636,657,-2273,-599
16:06:33.543,225,444,503,277,468,522,294,239,457,351,242,493,416,234,1424,-8060,-1772,721,-1936,-612
16:06:33.559,225,444,503,277,468,522,294,239,457,351,242,493,416,234,1424,-8060,-1772,721,-1936,-612
16:06:33.576,225,448,503,273,464,519,294,238,456,352,242,491,413,234,1328,-7812,-1304,628,-1633,-763
16:06:33.593,225,448,503,273,464,519,294,238,456,352,242,491,413,234,1328,-7812,-1304,628,-1633,-763
16:06:33.626,225,458,509,271,463,516,291,239,458,352,240,489,411,234,1480,-7944,-1664,616,-1453,-744
16:06:33.642,225,458,509,271,463,516,291,239,458,352,240,489,411,234,1480,-7944,-1664,616,-1453,-744
16:06:33.659,224,459,516,269,461,512,291,239,460,352,239,490,411,234,1496,-8092,-1668,524,-1197,-740
16:06:33.675,224,460,516,270,461,512,291,239,459,352,239,490,408,234,1436,-8020,-1740,585,-777,-607
16:06:33.692,223,457,514,268,460,510,288,239,465,352,239,486,409,234,1440,-8180,-2208,497,-795,-531
16:06:33.725,222,450,519,264,459,508,289,240,465,351,241,475,407,234,1340,-8264,-1580,463,-935,-201
16:06:33.742,222,450,519,264,459,508,289,240,465,351,241,475,407,234,1340,-8264,-1580,463,-935,-201
16:06:33.758,223,443,522,266,458,507,290,240,466,351,240,469,407,234,588,-8164,-2480,455,-528,-119
16:06:33.775,223,443,522,266,458,507,290,240,466,351,240,469,407,234,588,-8164,-2480,455,-528,-119
16:06:33.791,222,438,524,264,458,514,289,242,467,350,239,465,407,234,496,-7848,-2384,515,-955,-112
16:06:33.825,221,434,524,267,457,523,290,243,466,349,239,463,406,235,76,-7536,-2368,504,-838,-296
16:06:33.841,221,434,524,267,457,523,290,243,466,349,239,463,406,235,76,-7536,-2368,504,-838,-296
16:06:33.858,223,432,523,265,458,521,291,243,466,349,239,459,405,235,144,-7504,-2632,350,-1207,-395
16:06:33.874,224,433,522,264,456,522,290,242,464,348,238,458,405,234,124,-7404,-3036,297,-1523,-313
16:06:33.891,224,433,522,264,456,522,290,242,464,348,238,458,405,234,124,-7404,-3036,297,-1523,-313
16:06:33.924,227,431,524,265,457,520,289,242,459,346,237,459,405,234,-460,-7552,-2984,26,-1747,-212
16:06:33.940,227,431,524,265,457,520,289,242,459,346,237,459,405,234,-460,-7552,-2984,26,-1747,-212
16:06:33.957,227,431,524,265,457,520,289,242,459,346,237,459,405,234,-460,-7552,-2984,26,-1747,-212
16:06:33.974,224,426,530,264,460,521,292,241,456,344,237,464,406,233,-1012,-7692,-2964,-89,-2286,-209
16:06:33.990,225,428,534,265,461,526,294,244,455,345,237,465,404,233,-892,-7916,-2628,97,-2453,-363
16:06:34.023,224,425,540,265,461,524,295,244,453,345,238,464,401,233,-24,-7864,-2404,237,-2457,-307
16:06:34.040,224,425,540,265,461,524,295,244,453,345,238,464,401,233,-24,-7864,-2404,237,-2457,-307
16:06:34.057,222,423,543,264,462,524,297,244,453,346,237,466,399,233,84,-7788,-2460,267,-2514,-238
16:06:34.073,222,423,542,265,463,522,295,244,450,346,237,468,399,235,188,-7732,-2336,136,-2557,-61
16:06:34.090,222,423,542,265,463,522,295,244,450,346,237,468,399,235,188,-7732,-2336,136,-2557,-61
16:06:34.123,222,424,546,265,464,520,296,245,451,345,237,463,398,236,72,-8020,-2400,175,-2084,48
16:06:34.139,222,424,546,265,464,520,296,245,451,345,237,463,398,236,72,-8020,-2400,175,-2084,48
16:06:34.156,222,424,546,265,464,520,296,245,451,345,237,463,398,236,72,-8020,-2400,175,-2084,48
16:06:34.173,222,424,546,265,464,520,296,245,451,345,237,463,398,236,72,-8020,-2400,175,-2084,48
16:06:34.205,221,419,551,264,468,516,300,246,459,342,238,454,402,238,1324,-7668,-2212,188,-837,-85
16:06:34.222,219,419,554,263,471,521,299,246,456,341,238,452,402,237,1760,-7732,-1812,118,-760,-16
16:06:34.239,219,419,554,263,471,521,299,246,456,341,238,452,402,237,1760,-7732,-1812,118,-760,-16
16:06:34.255,219,419,554,263,471,521,299,246,456,341,238,452,402,237,1760,-7732,-1812,118,-760,-16
16:06:34.272,219,417,557,263,471,546,299,245,452,342,238,452,399,236,1296,-7872,-2092,122,157,112
16:06:34.305,219,415,564,262,474,551,298,239,448,346,237,454,395,234,996,-7888,-2136,62,1060,175
16:06:34.321,219,415,564,262,474,551,298,239,448,346,237,454,395,234,996,-7888,-2136,62,1060,175
16:06:34.338,219,415,564,262,474,551,298,239,448,346,237,454,395,234,996,-7888,-2136,62,1060,175
16:06:34.355,220,415,564,263,477,550,297,239,447,347,237,455,395,234,692,-7844,-2068,52,1036,150
16:06:34.371,221,415,567,262,478,541,296,238,446,348,236,454,395,232,-452,-7912,-2784,36,1181,199
16:06:34.405,222,414,567,262,478,541,295,237,444,347,236,455,394,232,-328,-7924,-2404,179,863,237
16:06:34.421,222,414,567,262,478,541,295,237,444,347,236,455,394,232,-328,-7924,-2404,179,863,237
16:06:34.437,221,415,565,260,476,539,295,237,444,347,236,455,395,230,-268,-7812,-2796,141,994,237
16:06:34.454,222,413,563,262,476,539,294,236,443,347,237,454,394,231,-328,-7792,-2788,151,607,202
16:06:34.471,220,413,556,260,473,534,293,237,443,345,236,453,395,231,-140,-7660,-2708,93,305,268
16:06:34.504,220,413,556,260,473,534,293,237,443,345,236,453,395,231,-140,-7660,-2708,93,305,268
16:06:34.520,221,413,554,261,472,530,293,235,442,344,236,451,395,230,-152,-7704,-2368,74,261,232
16:06:34.537,220,413,548,260,470,523,294,236,442,343,236,447,392,230,248,-7956,-2812,196,765,240
16:06:34.553,220,413,548,260,470,523,294,236,442,343,236,447,392,230,248,-7956,-2812,196,765,240
16:06:34.570,220,414,548,260,468,514,293,237,442,344,236,446,394,229,-68,-7948,-2708,217,760,340
16:06:34.604,219,411,541,257,465,512,292,237,441,342,237,446,392,229,224,-7860,-2776,142,645,304
16:06:34.620,219,411,541,257,465,512,292,237,441,342,237,446,392,229,224,-7860,-2776,142,645,304
16:06:34.636,219,412,537,255,461,513,288,237,440,343,235,446,391,229,-140,-7736,-2420,176,672,209
16:06:34.653,219,412,538,258,460,514,289,237,442,343,235,448,391,229,-44,-7816,-2412,185,680,151
16:06:34.686,220,411,534,258,461,515,289,237,440,343,235,450,390,229,-24,-7872,-2400,154,694,156
16:06:34.703,217,409,529,254,457,517,284,236,444,343,235,451,389,229,-368,-7768,-2424,124,696,372
16:06:34.719,217,409,529,254,457,517,284,236,444,343,235,451,389,229,-368,-7768,-2424,124,696,372
16:06:34.736,217,409,529,254,457,517,284,236,444,343,235,451,389,229,-368,-7768,-2424,124,696,372
16:06:34.753,219,413,528,257,457,516,285,234,441,342,235,451,389,230,-468,-7876,-2500,23,654,376
16:06:34.785,220,416,526,257,459,515,285,234,441,341,234,452,390,229,-472,-7972,-2352,-70,664,407
16:06:34.802,220,416,526,257,459,515,285,234,441,341,234,452,390,229,-472,-7972,-2352,-70,664,407
16:06:34.818,220,416,526,257,459,515,285,234,441,341,234,452,390,229,-472,-7972,-2352,-70,664,407
16:06:34.835,220,416,526,257,459,515,285,234,441,341,234,452,390,229,-472,-7972,-2352,-70,664,407
16:06:34.852,220,416,526,257,459,515,285,234,441,341,234,452,390,229,-472,-7972,-2352,-70,664,407
16:06:34.885,220,416,526,257,459,515,285,234,441,341,234,452,390,229,-472,-7972,-2352,-70,664,407
16:06:34.901,220,416,526,257,459,515,285,234,441,341,234,452,390,229,-472,-7972,-2352,-70,664,407
16:06:34.918,220,416,526,257,459,515,285,234,441,341,234,452,390,229,-472,-7972,-2352,-70,664,407
16:06:34.935,220,420,521,255,453,514,282,233,441,339,234,443,390,229,-912,-7872,-2076,-148,626,388
16:06:34.952,220,420,521,255,453,514,282,233,441,339,234,443,390,229,-912,-7872,-2076,-148,626,388
16:06:34.984,218,420,521,254,452,517,283,232,440,340,233,440,390,228,-848,-7848,-2076,-168,759,387
16:06:35.005,219,419,520,253,449,518,282,231,441,342,233,444,391,228,-956,-7776,-2192,9,414,422
16:06:35.021,220,421,519,254,449,519,284,233,440,343,234,447,391,229,-548,-7828,-2272,7,425,367
16:06:35.038,220,421,519,254,449,519,284,233,440,343,234,447,391,229,-548,-7828,-2272,7,425,367
16:06:35.055,220,421,519,254,449,519,284,233,440,343,234,447,391,229,-548,-7828,-2272,7,425,367
16:06:35.071,220,421,519,254,449,519,284,233,440,343,234,447,391,229,-548,-7828,-2272,7,425,367
16:06:35.104,220,421,519,254,449,519,284,233,440,343,234,447,391,229,-548,-7828,-2272,7,425,367
16:06:35.121,219,421,519,255,446,519,281,231,440,344,234,450,391,229,-980,-7672,-2532,109,453,337
16:06:35.137,217,420,520,252,446,519,281,231,438,345,234,449,392,228,-844,-7728,-2104,164,85,333
16:06:35.154,219,419,522,254,447,519,282,232,437,346,233,449,391,228,-1180,-7828,-2376,120,164,310
16:06:35.170,219,419,522,254,447,519,282,232,437,346,233,449,391,228,-1180,-7828,-2376,120,164,310
16:06:35.204,217,413,515,254,444,519,281,233,436,345,233,440,390,229,-804,-7636,-2428,201,-585,229
16:06:35.220,216,410,513,255,442,518,279,233,436,343,232,439,387,227,-624,-7560,-2684,13,-1121,169
16:06:35.237,216,410,513,255,442,518,279,233,436,343,232,439,387,227,-624,-7560,-2684,13,-1121,169
16:06:35.254,216,410,513,255,442,518,279,233,436,343,232,439,387,227,-624,-7560,-2684,13,-1121,169
16:06:35.270,216,410,513,255,442,518,279,233,436,343,232,439,387,227,-624,-7560,-2684,13,-1121,169
16:06:35.303,217,407,514,253,441,512,279,232,435,342,231,442,386,227,-948,-7696,-2364,115,-1553,104
16:06:35.320,217,406,512,255,441,509,277,230,434,341,231,456,386,227,-144,-8184,-2484,222,-2064,-173
16:06:35.337,217,406,513,253,440,507,278,230,437,342,232,466,386,227,-104,-8244,-2456,253,-2502,-238
16:06:35.352,215,405,511,251,436,508,276,230,440,342,232,481,386,228,28,-8348,-2204,413,-2410,-311
16:06:35.386,216,405,513,252,438,504,277,230,443,343,231,484,385,230,616,-8284,-1900,498,-2526,-306
16:06:35.403,216,403,514,255,438,507,279,230,440,346,231,495,386,231,776,-8104,-2072,451,-2106,-34
16:06:35.419,216,403,514,255,438,507,279,230,440,346,231,495,386,231,776,-8104,-2072,451,-2106,-34
16:06:35.435,216,402,514,254,438,507,281,230,443,348,231,504,386,233,408,-7780,-1884,483,-2276,32
16:06:35.452,215,401,515,252,437,505,282,230,444,349,232,507,385,233,52,-7732,-2224,450,-1852,36
16:06:35.485,216,403,518,254,439,504,283,229,444,350,232,508,384,234,1012,-7780,-2276,403,-1697,-151
16:06:35.502,215,403,517,255,439,503,280,229,444,350,232,506,385,234,808,-7780,-2184,343,-1415,-108
